2013-10-31,29, johns
2013-11-21,85, johns
2013-11-20,92, johns
2013-11-05,30, johns
2013-11-22,106, johns
2013-11-18,51, johns
2013-11-19,76, johns
2013-11-10,77, johns
 2013-11-11,43, johns
 2013-11-12,60, johns
 2013-11-13,56, johns
 2013-11-14,85, johns
 2013-11-15,81, johns
 2013-11-16,56, johns
 2013-11-17,82, johns
 2013-10-30,26, johns
 2013-10-28,26, johns
 2013-10-29,39, johns
 2013-10-27,13, johns
 2013-11-09,38, johns
 2013-11-08,44, johns
 2013-11-03,43, johns
 2013-11-24,141, johns
 2013-11-01,50, johns
 2013-11-26,1113, johns
 2013-11-07,50, johns
 2013-11-06,43, johns
 2013-11-23,90, johns
 2013-11-04,44, johns
 2013-11-25,4, johns
 2013-11-02,22, johns
 2013-11-27,219, johns
